id,roleId,brandName,yn
1524,811,Alfa Artist,1
1525,811,AmayTsang,1
1526,811,Danny Jones,1
1527,811,DUDU,1
1528,811,E.S.E,1
1529,811,JAMIEMOORE,1
1530,811,STEED ,1
1531,811,VEMO,1
1532,811,阿尔法,1
1533,811,阿尔法·阿蒂斯,1
1534,811,阿尔法·阿蒂斯特,1
1535,811,阿尔法阿蒂斯,1
1536,811,阿尔法阿蒂斯特,1
1537,811,艾魅,1
1538,811,澳洲袋鼠,1
1539,811,比比,1
1540,811,丹豹,1
1541,811,梵贝斯,1
1542,811,飞扬空间,1
1543,811,绯闻女孩,1
1544,811,戈尔本,1
1545,811,哈森,1
1546,811,好包疯狂,1
1547,811,红七工,1
1548,811,皇冠,1
1549,811,金鱼,1
1550,811,爵洛,1
1551,811,卡唐,1
1552,811,朗迪威,1
1553,811,浪美,1
1554,811,麦包包,1
1555,811,美美,1
1556,811,美思蒂,1
1557,811,米奇,1
1558,811,木村井泓,1
1559,811,威王,1
1560,811,薇茉,1
1561,811,希夏邦马,1
1562,811,喜羊羊与灰太狼,1
1563,811,一品十尚,1
1564,811,卓妮尔,1
1565,811,啄木鸟,1
1594,815,缤果,1
1665,821,哈迪森,1
1666,821,哈迪森(HARRYSON),1
1667,821,哈迪森HARRYSON,1
1668,824,果园老农,1
1669,824,枣园老农,1
1671,826,农心,1
1691,829,KJ,1
1692,829,白雪,1
1693,829,大喜大,1
1694,829,好餐得,1
1695,829,希杰,1
1807,835,格力,1
1809,162,奥克斯,1
1824,90,三星,1
1825,854,金立,1
1932,884,少飞牌,1
1948,887,本草婴缘,1
1949,887,多美滋,1
1950,887,嘉宝,1
1951,887,美素,1
1952,887,美素佳儿,1
1953,887,雀巢,1
1954,887,雅培,1
2020,831,奥美特,1
2021,896,第一站,1
2029,899,魔法呱呱,1
2030,899,语音精灵,1
2056,901,雨莲露,1
2113,891,巧儿福,1
2114,897,好孩子,1
2115,897,小龙哈彼,1
2189,913,SpaceRail,1
2190,913,奥迪,1
2191,913,奥海,1
2192,913,彩珀,1
2193,913,丹妮奇特,1
2194,913,迪高,1
2195,913,迪美,1
2196,913,迪士嘉,1
2197,913,飞雷速,1
2198,913,奋铭,1
2199,913,锋源,1
2200,913,海阳之星,1
2201,913,海洋之星,1
2202,913,恒坤,1
2203,913,恒泰,1
2204,913,华彩,1
2205,913,华科尔,1
2206,913,华翔,1
2207,913,环奇,1
2208,913,煌星,1
2209,913,汇乐,1
2210,913,锦骏,1
2211,913,酷贝尔,1
2212,913,力士,1
2213,913,力翔,1
2214,913,立昕,1
2215,913,美嘉欣,1
2216,913,梦工厂,1
2217,913,梦工场,1
2218,913,奶宝宝,1
2219,913,全家欢,1
2220,913,胜雄,1
2221,913,拾美,1
2222,913,司马,1
2223,913,童之宝,1
2224,913,新思维,1
2225,913,星辉 ,1
2226,913,雅得,1
2241,916,Asoblock,1
2242,916,Bicycle,1
2243,916,flyingcup,1
2244,916,RUBIKS,1
2245,916,RUBIK'S,1
2246,916,speed stacksg,1
2247,916,创意,1
2248,916,创意工程,1
2249,916,大雁,1
2250,916,蛋神奇踪,1
2251,916,国丙,1
2252,916,国甲,1
2253,916,华诚,1
2254,916,华鹏,1
2255,916,竭力,1
2256,916,恋舞,1
2257,916,毛毛仔,1
2258,916,米米妙妙,1
2259,916,魔方吧,1
2260,916,木童,1
2261,916,瑞姆,1
2262,916,三国杀,1
2263,916,圣手,1
2264,916,舞状元,1
2265,916,星辉 ,1
2266,916,悠嘻猴,1
2302,930,澳优,1
2306,933,贝拉米,1
2634,942,真百代,1
2647,947,联想,1
2653,449,LineMax,1
2745,766,好福气,1
2746,459,力杰,1
2764,966,十一坊,1
2765,966,汤臣倍健,1
2766,966,新西兰十一坊,1
2775,968,洛克,1
2776,968,洛克（ROCK）,1
2792,6,清华同方,1
2799,970,斯泰克,1
2801,193,海信,1
2802,193,科龙,1
2803,597,海信,1
2804,597,科龙,1
2807,971,华帝,1
2859,952,银河风云,1
2875,1001,诺基亚,1
2876,1002,长虹,1
2877,179,CEM,1
2878,481,大有,1
2882,199,博世,1
2883,199,世纪,1
2886,1003,今联,1
2888,1005,思露德,1
2893,1006,诺基亚,1
2894,1007,诺基亚,1
2895,1008,诺基亚,1
2994,245,ICY DOCK,1
3003,1016,浩泽,1
3004,1017,康夫,1
3005,1018,雷瓦,1
3006,1019,桑乐金,1
3008,770,朗欣特,1
3012,1014,Rantopad,1
3013,1010,嘉速,1
3017,1023,奥特朗,1
3018,1024,巧太太,1
3033,548,任我游,1
3038,528,沃讯,1
3039,530,纽曼,1
3043,494,风华德,1
3044,494,莱澳,1
3045,494,隆威,1
3046,840,超洁,1
3048,486,申杰,1
3050,788,House,1
3051,788,NOYU,1
3052,788,阿果萨,1
3053,788,白色城堡,1
3054,788,贝思宝儿,1
3055,788,波隆纳,1
3056,788,博恩哥伦比亚,1
3057,788,大哥,1
3058,788,大卫杜夫,1
3059,788,多多,1
3060,788,泛亚牌,1
3061,788,费列罗,1
3062,788,芙罗拉,1
3063,788,冠能,1
3064,788,汉斯,1
3065,788,好客佳,1
3066,788,极爱,1
3067,788,金吕宋,1
3068,788,卡乐美,1
3069,788,康多乐,1
3070,788,可迪辛拉,1
3071,788,辣椒仔,1
3072,788,劳仑兹,1
3073,788,乐维萨,1
3074,788,露依,1
3075,788,每食富,1
3076,788,蜜兰诺,1
3077,788,蜜月,1
3078,788,妙多乐,1
3079,788,妙奇,1
3080,788,培珀莉,1
3081,788,品客,1
3082,788,普瑞纳,1
3083,788,瑞丹多,1
3084,788,瑞士小姐,1
3085,788,塞浦丽娜,1
3086,788,绅士,1
3087,788,食乐佳,1
3088,788,树顶,1
3089,788,素玛哥,1
3090,788,喜达牌,1
3091,788,喜跃,1
3092,788,暹罗,1
3093,788,新亚,1
3094,788,星巴克,1
3095,788,依云,1
3096,788,怡口,1
3097,788,座山,1
3099,1026,MOPS,1
3119,533,JWD,1
3120,533,JWD 京华,1
3121,533,京华,1
3122,533,联想,1
3126,535,风王,1
3127,510,美固,1
3136,132,长城,1
3137,502,洁车宝,1
3228,498,GiGi,1
3229,498,斑马,1
3230,498,大堡礁,1
3231,498,福客思,1
3232,498,龟牌,1
3233,498,巨佳科技,1
3234,498,淇淇,1
3235,498,馨安,1
3236,495,爱车屋,1
3240,842,车尚君,1
3241,843,固福,1
3245,845,阿普丽佳,1
3246,845,艾乐贝贝,1
3247,845,佰佳斯特,1
3248,845,宝贝第一,1
3249,845,宝得适,1
3250,845,贝安宝,1
3251,845,贝贝卡西,1
3252,845,葛莱,1
3253,845,斯迪姆,1
3258,852,美佳乐,1
3343,1027,g data,1
3353,1028,斯特贝恩,1
3357,846,香百年,1
3358,846,香王,1
3361,853,泡泡酷,1
3362,1030,三星,1
3364,1031,艾美特,1
3367,202,昆杰,1
3368,202,赛拓,1
3370,461,艾华士,1
3371,461,大豪,1
3469,1037,美菱,1
3476,1044,晶麦风,1
3503,1050,Qoowa,1
3510,1056,容声,1
3511,1055,海信,1
3521,251,蒙恬,1
3531,496,百欣,1
3532,496,龙虎,1
3533,496,悠嘻猴,1
3537,957,淇凯,1
3538,957,宜客莱,1
3543,46,卡贝奇,1
3544,46,卡士奇,1
3545,1020,不见不散,1
3554,1064,奥马,1
3555,1065,博世,1
3556,1065,西门子,1
3577,1073,胜为,1
3578,1074,随锐,1
3579,1075,力特,1
3580,1066,黄刀,1
3583,1054,包尔星克,1
3584,1077,阿历克斯,1
3586,1079,奥视通,1
3592,1083,汉飞,1
3605,1097,大白兔,1
3606,1097,佛手,1
3607,1097,冠生园,1
3632,474,倍思,1
3633,474,卡登仕,1
3634,118,三堡,1
3635,114,卡贝奇,1
3636,114,卡士奇,1
3637,1106,安桥,1
3639,1112,贝格斯瑞,1
3651,456,友基,1
3652,255,凡拓,1
3656,1122,清华同方,1
3675,1051,南极,1
3686,166,novero,1
3687,166,艾克亚,1
3688,166,飞利浦,1
3689,166,蓝蚂蚁,1
3690,258,novero,1
3691,258,艾克亚,1
3692,258,飞利浦,1
3693,258,蓝蚂蚁,1
3695,1142,福派,1
3696,1142,龙富,1
3697,1142,璐瑶,1
3698,1142,你我他,1
3699,1142,怡禾康,1
3704,1146,能率,1
3707,1149,康宝,1
3712,1153,步步乐,1
3713,1153,凯亚,1
3715,1155,美国旅行者,1
3716,1155,美旅箱包,1
3717,1156,Heys凯狮,1
3718,1156,Hobie,1
3719,1156,Newcom/悠客,1
3720,1156,霍比,1
3721,1156,欧朗得,1
3722,1156,天天,1
3723,1156,悠客,1
