id,name,operator,updateTime,createTime,yn,providerId
65,天津华文天下图书有限公司管理员,天津华文天下图书有限公司管理员,2011-09-14 10:29:58.090,2011-09-14 10:29:58.090,1,50
66,中国人民大学出版社管理员,中国人民大学出版社管理员,2011-09-14 10:30:26.703,2011-09-14 10:30:26.703,1,51
67,上海财经大学出版社有限公司管理员,上海财经大学出版社有限公司管理员,2011-09-14 10:30:48.760,2011-09-14 10:30:48.760,1,52
68,海南出版社有限公司管理员,海南出版社有限公司管理员,2011-09-14 10:31:08.610,2011-09-14 10:31:08.610,1,61
69, 朝华出版社管理员, 朝华出版社管理员,2011-09-14 10:31:36.060,2011-09-14 10:31:36.060,1,54
70,北京时代光华图书有限公司管理员,北京时代光华图书有限公司管理员,2011-09-14 10:32:10.843,2011-09-14 10:32:10.843,1,55
71,北京东方国中文化发展有限公司管理员,北京东方国中文化发展有限公司管理员,2011-09-14 10:32:48.893,2011-09-14 10:32:48.893,1,56
72,中国纺织出版社管理员,中国纺织出版社管理员,2011-09-14 10:33:18.720,2011-09-14 10:33:18.720,1,57
73,北京学士书店有限责任公司管理员,北京学士书店有限责任公司管理员,2011-09-14 10:34:16.563,2011-09-14 10:34:16.563,1,58
74,中国电力出版社有限公司管理员,中国电力出版社有限公司管理员,2011-09-14 10:34:49.703,2011-09-14 10:34:49.703,1,59
75,北京日知图书有限公司管理员,北京日知图书有限公司管理员,2011-09-14 10:35:10.937,2011-09-14 10:35:10.937,1,60
76,海豚出版社管理员,海豚出版社管理员,2011-09-14 10:35:34.037,2011-09-14 10:35:34.037,1,61
77,北京千秋智业图书发行有限公司管理员,北京千秋智业图书发行有限公司管理员,2011-09-14 10:35:55.397,2011-09-14 10:35:55.397,1,62
78,新星出版社有限责任公司管理员,新星出版社有限责任公司管理员,2011-09-14 10:36:15.147,2011-09-14 10:36:15.147,1,63
79,北京凤凰壹力文化发展有限公司管理员,北京凤凰壹力文化发展有限公司管理员,2012-01-30 13:54:05.297,2011-09-14 10:37:22.147,1,64
80,中南博集天卷文化传媒有限公司管理员,中南博集天卷文化传媒有限公司管理员,2011-09-14 10:37:45.340,2011-09-14 10:37:45.340,1,65
81,华东理工大学出版社有限公司管理员,华东理工大学出版社有限公司管理员,2011-09-14 10:38:10.983,2011-09-14 10:38:10.983,1,66
82,北京鸿达以太文化发展有限公司管理员,北京鸿达以太文化发展有限公司管理员,2012-08-23 11:44:11.090,2011-09-14 10:38:45.957,1,67
83,广州市保盛音像制品有限公司管理员,广州市保盛音像制品有限公司管理员,2011-09-14 10:39:08.343,2011-09-14 10:39:08.343,1,68
84,上海新索音乐有限公司管理员,上海新索音乐有限公司管理员,2011-09-14 10:39:27.520,2011-09-14 10:39:27.520,1,69
85,北京磨铁图书有限公司管理员,北京磨铁图书有限公司管理员,2011-09-14 16:19:27.140,2011-09-14 16:19:27.140,1,70
86,北京新华先锋文化传媒有限公司管理员,北京新华先锋文化传媒有限公司管理员,2011-09-14 16:19:52.327,2011-09-14 16:19:52.327,1,71
87,重庆大学出版社电子书管理员,重庆大学出版社电子书管理员,2012-01-30 10:25:25.627,2011-09-14 16:20:22.050,1,72
88,jsshdz ,晋声（上海）电子科技有限公司 管理员,2011-09-19 11:02:49.287,2011-09-19 11:02:49.287,1,73
89,scchdq,四川长虹电器股份有限公司管理员,2011-09-19 13:23:58.430,2011-09-19 13:23:58.430,1,74
90,bjptbxkj , 北京鹏泰博兴科技有限公司管理员,2011-09-19 14:11:17.077,2011-09-19 14:11:17.077,1,75
91,南京至诚百货有限公司管理员,南京至诚百货有限公司管理员,2011-09-20 11:46:26.733,2011-09-20 11:46:26.733,1,76
92,营口博金商贸有限公司管理员,营口博金商贸有限公司管理员,2013-04-08 11:46:29.593,2011-09-20 11:46:51.323,1,77
93,深圳市宝翔商贸有限公司管理员,深圳市宝翔商贸有限公司管理员,2012-09-18 15:11:13.113,2011-09-20 11:47:16.870,1,78
94,天津荣辉时代科技发展有限公司管理员,天津荣辉时代科技发展有限公司管理员,2011-09-20 11:47:51.997,2011-09-20 11:47:51.997,1,79
95,宁波世家洁具有限公司管理员,宁波世家洁具有限公司管理员,2012-09-20 18:36:17.663,2011-09-20 11:48:13.940,1,80
96,赛洛特管理员,赛洛特管理员,2011-09-20 11:48:15.953,2011-09-20 11:48:15.953,1,23
97,北京口口香香商贸有限公司管理员,北京口口香香商贸有限公司管理员,2012-03-27 13:45:10.463,2011-09-20 11:48:35.323,1,81
98,上海绿照实业有限公司,上海绿照实业有限公司,2012-11-20 14:27:18.053,2011-09-20 11:49:14.337,1,82
99,黑龙江农垦东北黑蜂开发有限公司管理员,黑龙江农垦东北黑蜂开发有限公司管理员,2012-03-27 13:38:30.523,2011-09-20 11:49:57.390,1,83
100,万瑞和贸易（北京）有限公司管理员,万瑞和贸易（北京）有限公司管理员,2011-09-20 11:50:23.153,2011-09-20 11:50:23.153,1,84
101,北京市生力食品经销公司管理员,北京市生力食品经销公司管理员,2011-09-20 11:51:08.210,2011-09-20 11:51:08.210,1,85
102,北京朝批裕利商贸有限公司,北京朝批裕利商贸有限公司,2012-12-17 11:22:33.970,2011-09-20 11:52:08.570,1,86
103,宁波艾婷贸易有限公司管理员,宁波艾婷贸易有限公司管理员,2011-09-20 11:52:32.830,2011-09-20 11:52:32.830,1,87
104,北京君捷西中贸易有限公司管理员,北京君捷西中贸易有限公司管理员,2011-11-07 16:09:05.787,2011-09-20 11:52:51.043,1,88
105,北京群飞科技有限公司管理员,北京群飞科技有限公司管理员,2011-09-20 11:53:09.330,2011-09-20 11:53:09.330,1,89
106,上海芮悦贸易有限公司管理员,上海芮悦贸易有限公司管理员,2011-09-20 11:54:19.990,2011-09-20 11:54:19.990,1,90
107,北京华谊安卡经贸有限公司管理员,北京华谊安卡经贸有限公司管理员,2011-09-20 11:55:21.193,2011-09-20 11:55:21.193,1,91
108,北京六合圣利商贸有限责任公司,北京六合圣利商贸有限责任公司,2012-04-11 14:30:10.100,2011-09-20 11:55:53.610,1,92
109,深圳市伯尼实业有限公司管理员,深圳市伯尼实业有限公司管理员,2011-09-20 11:56:23.547,2011-09-20 11:56:23.547,1,93
110,北京九州信诚商贸有限公司管理员,北京九州信诚商贸有限公司管理员,2012-12-07 17:42:26.330,2011-09-20 11:56:50.413,1,94
111,北京欧玉美商贸有限公司管理员,北京欧玉美商贸有限公司管理员,2011-09-20 11:57:13.307,2011-09-20 11:57:13.307,1,95
112,北京兰城兴商贸有限公司管理员,北京兰城兴商贸有限公司管理员,2011-09-20 11:57:36.937,2011-09-20 11:57:36.937,1,96
113,北京蓓颜丽化妆品有限责任公司管理员,北京蓓颜丽化妆品有限责任公司管理员,2011-09-20 11:58:04.453,2011-09-20 11:58:04.453,1,97
114,佳禾荟柏管理员1,库存销量-产品信息,2011-09-20 13:09:48.657,2011-09-20 13:09:48.657,1,33
115,深圳市新贵实业有限公司,深圳市新贵实业有限公司(备件库),2011-09-20 14:18:58.103,2011-09-20 14:18:58.103,1,98
116,北京市佳裕珩经贸有限公司,北京市佳裕珩经贸有限公司(备件库),2011-09-20 14:25:07.893,2011-09-20 14:25:07.893,1,99
117,深圳市奥尼电子工业有限公司 ,深圳市奥尼电子工业有限公司(备件库),2012-03-04 11:53:46.327,2011-09-20 14:28:19.520,1,100
118,广州市三堡电子技术有限公司,广州市三堡电子技术有限公司(备件库),2011-09-20 14:31:20.423,2011-09-20 14:31:20.423,1,101
119,上海杉地实业有限公司,上海杉地实业有限公司(备件库),2011-09-20 14:38:06.280,2011-09-20 14:38:06.280,1,102
120,北京元和恒泰贸易有限公司,北京元和恒泰贸易有限公司,2012-03-28 18:41:39.357,2011-09-21 10:02:41.610,1,103
121,美的管理员,美的管理员,2011-10-10 15:44:40.970,2011-10-10 14:01:44.680,1,105
122,小家电飞利浦管理员,小家电飞利浦管理员,2012-11-23 14:50:40.443,2011-10-10 15:05:39.983,1,104
123,青岛聚鑫德-九阳管理员,九阳管理员,2011-10-10 15:50:58.793,2011-10-10 15:50:58.793,1,106
124,中兴开放平台,中兴开放平台,2011-12-12 14:52:55.253,2011-10-20 17:06:21.530,1,107
125,LG管理员,LG管理员,2011-10-25 16:01:36.577,2011-10-25 16:01:36.577,1,109
126,亚都管理员,亚都管理员,2011-10-25 17:07:40.737,2011-10-25 17:07:40.737,1,110
127,科沃斯管理员,科沃斯管理员,2011-10-27 10:42:44.593,2011-10-27 10:42:44.593,0,41
128,上海飞科管理员,飞科管理员,2012-12-06 15:48:17.300,2011-10-27 10:48:03.340,1,111
129,中兴通讯股份有限公司管理员,中兴通讯股份有限公司管理员,2011-10-27 11:06:07.060,2011-10-27 11:06:07.060,0,107
130,帅康管理员,帅康管理员,2011-10-28 15:14:52.703,2011-10-28 15:14:52.703,1,112
131,泛立商贸管理员,,2012-05-25 14:20:02.767,2011-11-01 15:04:11.467,1,113
132,长城润滑油管理员,,2011-11-01 15:10:33.897,2011-11-01 15:10:33.897,1,114
133,东菱管理员,东菱管理员,2011-11-01 16:46:25.290,2011-11-01 16:33:08.477,1,115
134,万家乐管理员,,2011-11-01 17:08:22.083,2011-11-01 17:04:08.753,1,116
135,bjquanli,日百家居管理员,2012-08-21 09:48:37.183,2011-11-07 15:22:32.347,1,1
136,bjwlu,日百食品饮料管理员,2011-11-07 15:34:11.693,2011-11-07 15:34:11.693,1,1
137,bjxupeng,日百首饰管理员,2011-11-07 15:39:41.083,2011-11-07 15:39:41.083,1,1
138,bjchxw,日百母婴玩具管理员,2011-11-07 15:43:15.633,2011-11-07 15:43:15.633,1,1
