id,providerName,providerErpId,providerCode,createTime,updateTime,yn,OWN_SIGN,providerAccount,STS,DRES,GODS
53,海南出版社有限公司,4701,bk0109,2011-09-14 10:02:47.323,2011-09-14 10:02:47.323,1,BASE,bk0109,B,B,B
54,朝华出版社,4773,bk0123,2011-09-14 10:03:15.223,2011-09-14 10:03:15.223,1,BASE,bk0123,B,B,B
55,北京时代光华图书有限公司,4778,bk0129,2011-09-14 10:03:48.510,2011-09-14 10:03:48.510,1,BASE,bk0129,B,B,B
56, 北京东方国中文化发展有限公司,4907,bk0190,2011-09-14 10:04:24.740,2011-09-14 10:04:24.740,1,BASE,bk0190,B,B,B
57,中国纺织出版社,5035,bk0193,2011-09-14 10:04:56.977,2011-09-14 10:04:56.977,1,BASE,bk0193,B,B,B
58,北京学士书店有限责任公司,5034,bk0198,2011-09-14 10:05:26.733,2011-09-14 10:05:26.733,1,BASE,bk0198,B,B,B
59,中国电力出版社有限公司,4989,bk0213,2011-09-14 10:05:55.643,2011-09-14 10:05:55.643,1,BASE,bk0213,B,B,B
60,北京日知图书有限公司,4526,bk0234,2011-09-14 10:06:23.377,2011-09-14 10:06:23.377,1,BASE,bk0234,B,B,B
61,海豚出版社,5039,bk0312,2011-09-14 10:06:46.190,2011-09-14 10:06:46.190,1,BASE,bk0312,B,B,B
62,北京千秋智业图书发行有限公司,5102,bk0338,2011-09-14 10:07:15.640,2011-09-14 10:07:15.640,1,BASE,bk0338,B,B,B
63,新星出版社有限责任公司,7568,bk0702,2011-09-14 10:07:45.960,2011-09-14 10:07:45.960,1,BASE,bk0702,B,B,B
64,北京凤凰壹力文化有限公司,7601,bk0706,2011-09-14 10:08:11.467,2011-09-14 10:08:11.467,1,BASE,bk0706,B,B,B
65,中南博集天卷文化传媒有限公司,9567,bk0808,2011-09-14 10:08:45.760,2011-09-14 10:08:45.760,1,BASE,bk0808,B,B,B
66,华东理工大学出版社有限公司,10285,bk0871,2011-09-14 10:09:13.227,2011-09-14 10:09:13.227,1,BASE,bk0871,B,B,B
67,北京鸿达以太文化发展有限公司,5981,yx0011,2011-09-14 10:09:35.750,2011-09-14 10:24:45.767,1,BASE,yx0011,B,B,B
68,广州市保盛音像制品有限公司,6124,yx0012,2011-09-14 10:09:58.530,2011-09-14 10:25:35.670,1,BASE,yx0012,B,B,B
69,上海新索音乐有限公司,6152,yx0013,2011-09-14 10:10:22.253,2011-09-14 10:10:22.253,1,BASE,yx0013,B,B,B
70,北京磨铁图书有限公司,4776,bk0021,2011-09-14 16:14:35.830,2011-09-14 16:14:35.830,1,BASE,bk0021,B,B,B
71,北京新华先锋文化传媒有限公司,4656,bk0053,2011-09-14 16:15:00.120,2011-09-14 16:15:00.120,1,BASE,bk0053,B,B,B
72,重庆大学出版社有限公司,5176,bk0368,2011-09-14 16:15:31.320,2011-09-14 16:15:31.320,1,BASE,bk0368,B,B,B
73,晋声（上海）电子科技有限公司  ,8015,jsshdz,2011-09-19 11:01:00.143,2011-11-16 14:44:25.640,1,BASE,jsshdz,B,B,B
74,四川长虹电器股份有限公司,8439,scchdq,2011-09-19 13:21:35.610,2011-09-19 13:21:35.610,1,BASE,scchdq,B,B,B
75,北京鹏泰博兴科技有限公司 ,3789,bjptbxkj,2011-09-19 14:10:16.280,2012-11-08 17:07:58.047,1,BASE, bjptbxkj  ,B,B,B
76,南京至诚百货有限公司,3945,njzcbh,2011-09-20 10:27:52.970,2011-09-20 10:27:52.970,1,BASE,njzcbh,B,B,B
77,营口博金商贸有限公司,854,ykbj,2011-09-20 10:28:32.507,2011-09-20 10:28:32.507,1,BASE,ykbj,B,B,B
78,深圳市宝翔商贸有限公司,1925,szbx,2011-09-20 10:29:33.030,2011-09-20 10:29:33.030,1,BASE,szbx,B,B,B
79,天津荣辉时代科技发展有限公司,967,tjrh,2011-09-20 10:30:09.007,2011-09-20 10:30:09.007,1,BASE,tjrh,B,B,B
80,宁波世家洁具有限公司,3651,nbsjjj,2011-09-20 10:56:15.540,2011-09-20 10:56:15.540,1,BASE,nbsjjj,B,B,B
81,北京口口香香商贸有限公司,9002,bjkkxx,2011-09-20 10:57:02.600,2011-09-20 10:57:02.600,1,BASE,bjkkxx,B,B,B
82,上海绿照实业有限公司,6001,shlzsy,2011-09-20 10:57:40.180,2011-09-20 10:57:40.180,1,BASE,shlzsy,B,B,B
83,黑龙江农垦东北黑蜂开发有限公司,6418,hljnk,2011-09-20 10:58:28.183,2011-09-20 10:58:28.183,1,BASE,hljnk,B,B,B
84,万瑞和贸易（北京）有限公司,6132,wrhmybj,2011-09-20 11:00:50.380,2011-09-20 11:00:50.380,1,BASE,wrhmybj,B,B,B
85,北京市生力食品经销公司,5462,bjsslsp,2011-09-20 11:01:37.760,2011-09-20 11:01:37.760,1,BASE,bjsslsp,B,B,B
86,北京朝批裕利商贸有限公司,5598,bjcpylsm,2011-09-20 11:02:09.103,2011-09-20 11:02:09.103,1,BASE,bjcpylsm,B,B,B
87,宁波艾婷贸易有限公司,5467,nbatmy,2011-09-20 11:03:06.010,2011-09-20 11:03:06.010,1,BASE,nbatmy,B,B,B
88,北京君捷西中贸易有限公司,6023,bjjjxz,2011-09-20 11:04:41.473,2011-11-07 16:08:10.603,1,BASE,bjjjxz,B,B,B
89,北京群飞科技有限公司,3808,bjqfkj,2011-09-20 11:05:25.647,2011-09-20 11:05:25.647,1,BASE,bjqfkj,B,B,B
90,上海芮悦贸易有限公司,6210,shrymy,2011-09-20 11:05:56.023,2011-09-20 11:05:56.023,1,BASE,shrymy,B,B,B
91,北京华谊安卡经贸有限公司,10486,bjhyak,2011-09-20 11:06:37.203,2011-09-20 11:06:37.203,1,BASE,bjhyak,B,B,B
